Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
966,maxwell,110,17,110,8,2016-03-22T13:53:05Z,2023-12-19T03:15:41Z,341,Maxwell is an HTTP client which support for middleware and multiple adapters.,Elixir,https://github.com/zhongwencool/maxwell
967,phx_tailwind_generators,110,5,110,2,2021-01-16T16:29:52Z,2021-10-15T12:52:09Z,14953,Scaffold Generator which uses TailwindCSS.,Elixir,https://github.com/wintermeyer/phx_tailwind_generators
968,destructure,110,5,110,0,2016-10-31T21:04:47Z,2022-08-31T20:08:49Z,21,Javascript-style destructuring for Elixir,Elixir,https://github.com/danielberkompas/destructure
969,mavis,110,4,110,21,2020-08-22T19:39:29Z,2024-04-20T16:47:32Z,1408,opinionated typing library for elixir,Elixir,https://github.com/ityonemo/mavis
970,lazyasdf,110,5,110,4,2023-02-21T14:52:54Z,2023-07-25T01:43:22Z,44,Experimental TUI for asdf: a project to learn the art of the TUI.,Elixir,https://github.com/mhanberg/lazyasdf
971,toolshed,110,17,110,13,2018-10-02T19:55:51Z,2025-03-04T03:00:11Z,280,A toolshed of IEx helpers,Elixir,https://github.com/elixir-toolshed/toolshed
972,oban_web,110,13,110,1,2019-05-14T03:51:24Z,2025-03-26T20:07:06Z,6451,🧭 Oban Web live dashboard,Elixir,https://github.com/oban-bg/oban_web
973,elixir-ksuid,110,6,110,1,2017-06-08T19:13:06Z,2024-02-27T10:31:55Z,17,K-Sortable Globally Unique IDs for elixir,Elixir,https://github.com/girishramnani/elixir-ksuid
974,mentat,110,10,110,0,2020-04-04T02:39:24Z,2024-02-16T03:51:04Z,63,super simple caching with ttls,Elixir,https://github.com/elixir-toniq/mentat
975,flint,110,4,110,6,2024-06-25T03:10:27Z,2025-01-15T02:28:53Z,147,"Declarative Ecto embedded schemas for data validation, coercion, and manipulation.",Elixir,https://github.com/acalejos/flint
976,nabo,109,15,109,0,2017-05-31T21:31:51Z,2021-02-11T14:48:19Z,206,Nabo (納博) - dead simple blog engine,Elixir,https://github.com/qcam/nabo
977,knigge,109,12,109,9,2019-07-05T17:12:08Z,2024-04-16T14:59:21Z,336,An opinionated way of dealing with behaviours,Elixir,https://github.com/alexocode/knigge
978,lambda_ethereum_consensus,109,37,109,129,2023-07-10T15:31:02Z,2025-03-28T12:21:43Z,9218,"Elixir implementation of an Ethereum consensus client, which offers high reliance & fault tolerance",Elixir,https://github.com/lambdaclass/lambda_ethereum_consensus
979,peri,109,6,109,3,2024-06-13T11:45:55Z,2025-03-20T13:18:21Z,178,Elixir library for declarative data description and validation,Elixir,https://github.com/zoedsoupe/peri
980,imgup,109,20,109,34,2014-03-03T12:20:24Z,2025-02-01T08:08:03Z,36991,🌅 Effortless image uploads to AWS S3 with automatic resizing including REST API.,Elixir,https://github.com/dwyl/imgup
981,vintage_net,109,21,109,20,2018-05-30T15:30:46Z,2025-03-19T01:03:28Z,1353,Network configuration and management for Nerves devices,Elixir,https://github.com/nerves-networking/vintage_net
982,MongoosePush,109,24,109,4,2017-02-09T10:42:04Z,2024-05-10T11:54:53Z,2392,MongoosePush is a simple Elixir RESTful service allowing to send push notification via FCM and/or APNS.,Elixir,https://github.com/esl/MongoosePush
983,singleton,108,21,108,5,2016-10-30T04:03:47Z,2024-06-20T10:03:27Z,60,"Global, supervised singleton processes for Elixir",Elixir,https://github.com/arjan/singleton
984,xlsx_reader,108,19,108,4,2019-11-13T19:32:09Z,2025-03-03T07:41:33Z,459,A production-ready XLSX file reader for Elixir.,Elixir,https://github.com/xavier/xlsx_reader
985,live_upload_example,108,16,108,0,2020-11-07T01:31:59Z,2023-07-10T20:53:20Z,329,Demonstrating file uploads with Phoenix LiveView,Elixir,https://github.com/mcrumm/live_upload_example
