Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
91,aniyomi,7160,551,7160,333,17/04/2021,05/11/2025,80.63 MB,An app for manga and anime,Kotlin,https://github.com/aniyomiorg/aniyomi,80.63 MB
92,Nrfr,7070,553,7070,78,01/01/2025,16/07/2025,433.00 KB,🌍 免 Root 的 SIM 卡国家码修改工具 | 解决国际漫游时的兼容性问题，帮助使用海外 SIM 卡获得更好的本地化体验，解锁运营商限制，突破区域限制,Kotlin,https://github.com/Ackites/Nrfr,433.00 KB
93,ReadYou,7050,289,7050,431,01/03/2022,01/02/2026,11.78 MB,An Android RSS reader presented in Material You style.,Kotlin,https://github.com/ReadYouApp/ReadYou,11.78 MB
94,RxKotlin,7040,456,7040,29,19/08/2014,16/10/2023,640.00 KB,RxJava bindings for Kotlin,Kotlin,https://github.com/ReactiveX/RxKotlin,640.00 KB
95,kotlin-native,6992,559,6992,0,16/05/2016,10/08/2021,89.82 MB,Kotlin/Native infrastructure,Kotlin,https://github.com/JetBrains/kotlin-native,89.82 MB
96,detekt,6908,831,6908,239,23/10/2016,09/04/2026,187.46 MB,Static code analysis for Kotlin,Kotlin,https://github.com/detekt/detekt,187.46 MB
97,ComposeCookBook,6799,848,6799,3,06/09/2020,19/10/2025,77.72 MB,"A Collection on all Jetpack compose UI elements, Layouts, Widgets and Demo screens to see it's potential",Kotlin,https://github.com/Gurupreet/ComposeCookBook,77.72 MB
98,sqldelight,6779,562,6779,369,21/10/2015,09/04/2026,347.23 MB,SQLDelight - Generates typesafe Kotlin APIs from SQL,Kotlin,https://github.com/sqldelight/sqldelight,347.23 MB
99,LibChecker,6767,419,6767,27,19/03/2020,09/04/2026,21.42 MB,An app to view libraries used in apps in your device.,Kotlin,https://github.com/LibChecker/LibChecker,21.42 MB
100,android-showcase,6747,909,6747,15,20/11/2018,08/04/2026,16.90 MB,"💎 Android application following best practices:  Kotlin, Coroutines, JetPack, Clean Architecture, Feature Modules, Tests, MVVM, DI, Static Analysis...",Kotlin,https://github.com/igorwojda/android-showcase,16.90 MB
101,sourcerer-app,6745,272,6745,203,07/07/2017,30/09/2020,6.74 MB,🦄 Sourcerer app makes a visual profile from your GitHub and git repositories.,Kotlin,https://github.com/sourcerer-io/sourcerer-app,6.74 MB
102,tivi,6725,896,6725,0,17/08/2017,12/11/2024,70.04 MB,"Tivi is a TV show tracking Android app, which connects to trakt.tv",Kotlin,https://github.com/chrisbanes/tivi,70.04 MB
103,ktlint,6674,522,6674,15,27/07/2016,01/04/2026,89.65 MB,An anti-bikeshedding Kotlin linter with built-in formatter,Kotlin,https://github.com/pinterest/ktlint,89.65 MB
104,client,6659,184,6659,214,04/07/2022,02/04/2026,113.30 MB,Clutterfree F-Droid client,Kotlin,https://github.com/Droid-ify/client,113.30 MB
105,KeePassDX,6565,360,6565,496,17/10/2017,09/04/2026,67.03 MB,"Lightweight vault and password manager for Android, KeePassDX allows editing encrypted data in a single file in KeePass format and fill in the forms in a secure way.",Kotlin,https://github.com/Kunzisoft/KeePassDX,67.03 MB
106,arrow,6539,468,6539,32,24/03/2017,09/04/2026,63.93 MB,"The perfect companion for your Kotlin journey - Inspired by functional, data-oriented and concurrent programming",Kotlin,https://github.com/arrow-kt/arrow,63.93 MB
107,Android-DataBackup,6510,259,6510,176,22/11/2021,06/04/2026,286.56 MB,DataBackup for Android 7.0+,Kotlin,https://github.com/XayahSuSuSu/Android-DataBackup,286.56 MB
108,acra,6497,1130,6497,4,20/09/2012,08/04/2026,14.27 MB,Application Crash Reports for Android,Kotlin,https://github.com/ACRA/acra,14.27 MB
109,sdmaid-se,6482,797,6482,24,20/11/2022,09/04/2026,86.42 MB,SD Maid 2/SE is Android's most thorough cleaning tool.,Kotlin,https://github.com/d4rken-org/sdmaid-se,86.42 MB
110,facebook-android-sdk,6477,3690,6477,146,10/05/2010,07/04/2026,33.13 MB,Used to integrate Android apps with Facebook Platform.,Kotlin,https://github.com/facebook/facebook-android-sdk,33.13 MB
111,fenix,6407,1285,6407,0,22/03/2018,20/02/2023,128.68 MB, ⚠️ Fenix (Firefox for Android) moved to a new repository. It is now developed and maintained as part of: https://github.com/mozilla-mobile/firefox-android,Kotlin,https://github.com/mozilla-mobile/fenix,128.68 MB
112,komga,6122,359,6122,16,08/08/2019,01/04/2026,75.09 MB,"Media server for comics/mangas/BDs/magazines/eBooks with API, OPDS, Kobo Sync and KOReader Sync support",Kotlin,https://github.com/gotson/komga,75.09 MB
113,AmazeFileManager,6106,1661,6106,631,14/07/2014,05/04/2026,60.34 MB,Material design file manager for Android,Kotlin,https://github.com/TeamAmaze/AmazeFileManager,60.34 MB
114,Design-Patterns-In-Kotlin,5999,690,5999,5,26/09/2016,11/06/2024,269.00 KB,Design Patterns implemented in Kotlin,Kotlin,https://github.com/dbacinski/Design-Patterns-In-Kotlin,269.00 KB
115,androidx,5951,1297,5951,51,17/04/2020,10/04/2026,1.07 GB,Development environment for Android Jetpack extension libraries under the androidx namespace. Synchronized with Android Jetpack's primary development branch on AOSP.,Kotlin,https://github.com/androidx/androidx,1.07 GB
116,mavericks,5940,514,5940,62,02/07/2018,07/02/2026,37.86 MB,Mavericks: Android on Autopilot,Kotlin,https://github.com/airbnb/mavericks,37.86 MB
117,InnerTune,5901,391,5901,264,11/02/2020,13/11/2025,32.13 MB,A Material 3 YouTube Music client for Android,Kotlin,https://github.com/z-huang/InnerTune,32.13 MB
118,kotlinx.serialization,5880,672,5880,312,20/07/2017,09/04/2026,10.40 MB,Kotlin multiplatform / multi-format serialization ,Kotlin,https://github.com/Kotlin/kotlinx.serialization,10.40 MB
119,android-oss,5788,990,5788,7,12/12/2016,09/04/2026,55.31 MB,"Kickstarter for Android. Bring new ideas to life, anywhere.",Kotlin,https://github.com/kickstarter/android-oss,55.31 MB
120,MultiType,5772,748,5772,12,03/08/2016,28/08/2022,8.42 MB,Flexible multiple types for Android RecyclerView.,Kotlin,https://github.com/drakeet/MultiType,8.42 MB
121,SagerNet,5761,1018,5761,104,19/04/2021,13/02/2024,6.57 MB,The universal proxy toolchain for Android,Kotlin,https://github.com/SagerNet/SagerNet,6.57 MB
122,mockk,5738,409,5738,311,17/10/2017,08/04/2026,15.01 MB,mocking library for Kotlin,Kotlin,https://github.com/mockk/mockk,15.01 MB
123,VPNHotspot,5580,490,5580,20,03/01/2018,19/09/2025,3.59 MB,Share your VPN connection over hotspot or repeater! (root required),Kotlin,https://github.com/Mygod/VPNHotspot,3.59 MB
124,Hail,5539,190,5539,144,12/08/2021,10/03/2026,3.78 MB,Disable / Hide / Suspend / Uninstall Android apps without root.,Kotlin,https://github.com/aistra0528/Hail,3.78 MB
125,Alerter,5518,634,5518,48,03/02/2017,21/07/2023,36.21 MB,An Android Alerting Library,Kotlin,https://github.com/Tapadoo/Alerter,36.21 MB
126,Calendar,5510,580,5510,8,20/04/2019,28/03/2026,5.10 MB,A highly customizable calendar view and compose library for Android and Kotlin Multiplatform.,Kotlin,https://github.com/kizitonwose/Calendar,5.10 MB
127,camera-samples,5413,2422,5413,179,05/05/2019,25/03/2026,91.56 MB,Multiple samples showing the best practices in camera APIs on Android.,Kotlin,https://github.com/android/camera-samples,91.56 MB
128,bitchat-android,5352,724,5352,248,08/07/2025,05/04/2026,52.01 MB,"bluetooth mesh chat, IRC vibes",Kotlin,https://github.com/permissionlesstech/bitchat-android,52.01 MB
